['1.000', '0.000', '0.167', '-0.000', '0.071', '-0.000', '0.042', '-0.000', '0.030', '-0.000']
['1.000', '-0.000', '0.167', '-0.000', '0.069', '-0.000', '0.040', '-0.000', '0.027', '-0.000']
['1.000', '0.000', '0.167', '-0.000', '0.079', '-0.000', '0.053', '-0.000', '0.040', '-0.000']
['1.000', '0.000', '0.167', '-0.000', '0.071', '-0.000', '0.043', '-0.000', '0.030', '-0.000']
['1.000', '-0.000', '0.167', '0.000', '0.079', '0.000', '0.053', '-0.000', '0.040', '-0.000']
['1.000', '-0.000', '0.167', '-0.000', '0.069', '-0.000', '0.040', '-0.000', '0.027', '-0.000']
['1.000', '-0.000', '0.167', '-0.000', '0.069', '-0.000', '0.040', '-0.000', '0.027', '-0.000']
['1.000', '-0.000', '0.167', '-0.000', '0.069', '-0.000', '0.040', '-0.000', '0.027', '-0.000']
['1.000', '0.000', '0.167', '-0.000', '0.069', '-0.000', '0.040', '-0.000', '0.027', '-0.000']
['1.000', '-0.000', '0.167', '0.000', '0.069', '0.001', '0.040', '0.001', '0.027', '0.001']
['1.000', '-0.000', '0.167', '-0.000', '0.069', '-0.000', '0.040', '-0.000', '0.027', '-0.000']
['1.000', '-0.000', '0.167', '-0.000', '0.071', '-0.000', '0.043', '-0.000', '0.030', '-0.000']
['1.000', '-0.000', '0.167', '-0.000', '0.079', '-0.000', '0.053', '-0.000', '0.040', '-0.000']
['1.000', '-0.000', '0.167', '-0.000', '0.069', '-0.000', '0.040', '-0.000', '0.027', '-0.000']
['1.000', '-0.000', '0.167', '0.000', '0.071', '-0.000', '0.042', '-0.000', '0.030', '-0.000']
['1.000', '-0.000', '0.167', '-0.000', '0.071', '-0.000', '0.043', '-0.000', '0.030', '-0.000']
['1.000', '0.000', '0.167', '-0.000', '0.069', '-0.000', '0.040', '-0.000', '0.027', '-0.000']
['1.000', '-0.000', '0.167', '0.000', '0.079', '0.000', '0.053', '-0.000', '0.040', '-0.000']
['1.000', '0.000', '0.167', '-0.000', '0.069', '-0.000', '0.040', '-0.000', '0.027', '-0.000']
['1.000', '0.000', '0.167', '0.000', '0.071', '-0.000', '0.043', '-0.000', '0.030', '-0.000']
['1.000', '-0.000', '0.167', '-0.000', '0.069', '-0.000', '0.040', '-0.000', '0.027', '-0.000']
['1.000', '-0.000', '0.167', '-0.000', '0.069', '-0.000', '0.040', '-0.000', '0.027', '-0.000']
['1.000', '-0.000', '0.167', '-0.000', '0.069', '-0.000', '0.040', '-0.000', '0.027', '-0.000']
['1.000', '-0.000', '0.167', '-0.000', '0.069', '-0.000', '0.040', '-0.000', '0.027', '-0.000']
['1.000', '-0.000', '0.167', '-0.000', '0.069', '-0.000', '0.040', '-0.000', '0.027', '-0.000']
['1.000', '-0.000', '0.167', '-0.000', '0.069', '-0.000', '0.040', '-0.000', '0.027', '-0.000']
['1.000', '-0.000', '0.167', '-0.000', '0.069', '-0.000', '0.040', '-0.000', '0.027', '-0.000']
['1.000', '0.000', '0.167', '-0.000', '0.069', '-0.000', '0.040', '-0.000', '0.027', '-0.000']
