['1.000', '0.000', '0.250', '0.000', '0.188', '0.000', '0.156', '0.000', '0.137', '0.000']
['1.000', '-0.000', '0.250', '-0.000', '0.148', '-0.000', '0.115', '-0.000', '0.099', '-0.000']
['1.000', '-0.000', '0.250', '-0.000', '0.141', '-0.000', '0.098', '-0.000', '0.075', '-0.000']
['1.000', '0.000', '0.250', '0.000', '0.141', '0.000', '0.107', '0.000', '0.092', '0.000']
['1.000', '-0.000', '0.125', '-0.000', '0.023', '-0.000', '0.005', '-0.000', '0.001', '-0.000']
['1.000', '-0.000', '0.250', '-0.000', '0.148', '-0.000', '0.115', '-0.000', '0.099', '-0.000']
['1.000', '0.000', '0.250', '0.000', '0.141', '-0.000', '0.098', '-0.000', '0.075', '-0.000']
['1.000', '-0.000', '0.250', '-0.000', '0.141', '-0.000', '0.098', '-0.000', '0.077', '-0.000']
['1.000', '0.001', '0.250', '0.000', '0.141', '0.000', '0.107', '0.000', '0.092', '0.000']
['1.000', '-0.000', '0.125', '-0.000', '0.023', '-0.000', '0.005', '-0.000', '0.001', '-0.000']
['1.000', '0.000', '0.250', '0.000', '0.141', '0.000', '0.098', '-0.000', '0.075', '-0.000']
['1.000', '0.000', '0.250', '-0.000', '0.141', '-0.000', '0.098', '-0.000', '0.077', '-0.000']
['1.000', '0.000', '0.250', '0.000', '0.141', '0.000', '0.098', '0.000', '0.075', '0.000']
['1.000', '-0.000', '0.250', '-0.000', '0.141', '-0.000', '0.098', '-0.000', '0.075', '-0.000']
['1.000', '-0.000', '0.250', '-0.000', '0.141', '-0.000', '0.098', '-0.000', '0.075', '-0.000']
['1.000', '-0.000', '0.250', '-0.000', '0.141', '-0.000', '0.098', '-0.000', '0.075', '-0.000']
['1.000', '-0.000', '0.250', '0.000', '0.141', '0.000', '0.098', '0.000', '0.075', '0.000']
['1.000', '0.000', '0.250', '0.000', '0.141', '0.000', '0.098', '0.000', '0.075', '0.000']
['1.000', '-0.000', '0.250', '-0.000', '0.141', '-0.000', '0.098', '-0.000', '0.075', '-0.000']
